"game_half","posteam","qtr","down","time","yrdln","ydstogo","yards_gained","play_type","shotgun","no_huddle","pass_length","pass_location","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","half_seconds_remaining","game_seconds_remaining","return_yards","penalty_team","safety","fumble_lost","interception","sack","penalty_player_name","success","pass","rush","aborted_play","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","personnel","opponent_personnel","pre-formation","post-formation","motion"
"Half1","PIT",2,4,"03:57","45",10,0,"punt",0,0,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,2,2,237,2037,0,NA,0,0,0,0,NA,1,0,0,0,3,6,6,3,3,"Punt Return","Punt","","",""
"Half1","ATL",2,1,"03:50","-10",10,9,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,230,2030,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","4-2 Nickel","Empty","",""
"Half1","ATL",2,2,"03:20","-19",1,3,"run",1,0,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,2,2,200,2000,0,NA,0,0,0,0,NA,1,0,1,0,3,6,3,6,-3,"11","4-2 Nickel","Pistol Trips","Pistol Trips","5 London"
"Half1","ATL",2,1,"02:55","-22",10,20,"pass",1,1,"deep","middle",NA,NA,NA,NA,NA,NA,NA,NA,2,2,175,1975,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","4-2 Nickel","Shotgun Ace","",""
"Half1","ATL",2,1,"02:21","-42",10,6,"pass",1,1,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,2,141,1941,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","4-2 Nickel","Shotgun Trips","Empty","7 Robinson"
"Half1","ATL",2,2,"02:00","-48",4,0,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,2,2,120,1920,0,NA,0,0,0,0,NA,0,0,1,0,3,6,3,6,-3,"11","5-1 Nickel","Pistol Trips","Shotgun Wing T Close","1 Mooney"
"Half1","ATL",2,3,"01:22","-48",4,5,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,82,1882,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","5-1 Nickel","Empty","",""
"Half1","ATL",2,1,"00:56","47",10,14,"pass",1,1,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,2,56,1856,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","4-3 Nickel","Shotgun Ace","",""
"Half1","ATL",2,1,"00:47","33",10,16,"pass",1,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,2,2,47,1847,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"11","4-2 Nickel","Shotgun Ace","Shotgun Ace","8 Pitts"
"Half1","ATL",2,1,"00:41","17",10,0,"no_play",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,41,1841,0,"0",0,0,0,0,"T.Watt",1,1,0,0,3,6,3,6,-3,"11","4-2 Nickel","Empty","",""
"Half1","ATL",2,1,"00:38","12",5,12,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,"ATL",1,2,38,1838,0,NA,0,0,0,0,NA,1,1,0,0,9,6,3,6,-3,"11","4-2 Nickel","Shotgun Ace","Shotgun Trips","8 Pitts"
"Half1","ATL",2,NA,"00:32","15",0,0,"extra_point",0,0,NA,NA,NA,NA,NA,33,"good",NA,NA,NA,1,2,32,1832,0,NA,0,0,0,0,NA,1,0,0,0,10,6,9,6,3,"Field Goal XP","Field Goal Block","","",""
"Half1","PIT",2,NA,"00:32","-35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,2,1,32,1832,0,NA,0,0,0,0,NA,1,0,0,0,10,6,6,10,-4,"Kickoff","Kickoff Return","","",""
"Half1","PIT",2,1,"00:32","30",10,7,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,1,32,1832,0,NA,0,0,0,0,NA,0,1,0,0,10,6,6,10,-4,"4-2 Nickel","11","Cover 2","Cover 3",""
"Half1","PIT",2,2,"00:15","37",3,5,"pass",1,1,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,1,15,1815,0,NA,0,0,0,0,NA,1,1,0,0,10,6,6,10,-4,"4-2 Nickel","11","Cover 2","Cover 2 Man",""
"Half1","PIT",2,1,"00:09","42",10,33,"pass",1,0,"deep","right",NA,NA,NA,NA,NA,NA,NA,NA,2,0,9,1809,0,NA,0,0,0,0,NA,1,1,0,0,10,6,6,10,-4,"4-2 Nickel","11","Cover 2","Cover 3",""
"Half1","PIT",2,1,"00:03","-25",10,0,"field_goal",0,0,NA,NA,NA,NA,"made",44,NA,NA,NA,NA,2,0,3,1803,0,NA,0,0,0,0,NA,1,0,0,0,10,9,6,10,-4,"Field Goal Block","Field Goal","","",""
"Half2","PIT",3,NA,"15:00","-35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,3,3,1800,1800,0,NA,0,0,0,0,NA,1,0,0,0,10,9,9,10,-1,"Kickoff","Kickoff Return","","",""
"Half2","PIT",3,1,"15:00","30",10,5,"run",1,0,NA,NA,"left","tackle",NA,NA,NA,NA,NA,NA,3,3,1800,1800,0,NA,0,0,0,0,NA,1,0,1,0,10,9,9,10,-1,"5-2","12","Cover 2","","11 Austin"
"Half2","PIT",3,2,"14:26","35",5,1,"run",0,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1766,1766,0,NA,0,0,0,0,NA,0,0,1,0,10,9,9,10,-1,"4-2 Nickel","11","Cover 3","",""
"Half2","PIT",3,3,"13:44","36",4,-15,"pass",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1724,1724,0,NA,0,0,0,1,NA,0,1,0,0,10,9,9,10,-1,"4-2 Nickel","11","Cover 2","Cover 6",""
"Half2","PIT",3,4,"13:09","21",19,0,"punt",0,0,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,3,3,1689,1689,28,NA,0,0,0,0,NA,0,0,0,0,10,9,9,10,-1,"Punt Return","Punt","","",""
"Half2","ATL",3,1,"12:56","-49",10,4,"run",1,0,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,3,3,1676,1676,0,NA,0,0,0,0,NA,0,0,1,0,10,9,10,9,1,"12","5-3 Nickel","Pistol Trips","Pistol Trips","5 London"
"Half2","ATL",3,2,"12:25","47",6,4,"run",1,0,NA,NA,"left","tackle",NA,NA,NA,NA,NA,NA,3,3,1645,1645,0,NA,0,0,0,0,NA,0,0,1,0,10,9,10,9,1,"12","5-3 Nickel","Pistol Trips","Pistol Trips","89 Woerner"
"Half2","ATL",3,3,"11:59","43",2,1,"run",1,1,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1619,1619,0,NA,0,0,0,0,NA,0,0,1,0,10,9,10,9,1,"12","5-3 Nickel","Pistol Bunch","",""
"Half2","ATL",3,4,"11:19","42",1,10,"run",0,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1579,1579,0,NA,0,0,0,0,NA,1,0,1,0,10,9,10,9,1,"12","5-3 Nickel","Singleback Trips","Power I","7 Robinson"
"Half2","ATL",3,1,"10:34","32",10,0,"run",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1534,1534,0,NA,0,1,0,0,NA,0,0,1,1,10,9,10,9,1,"12","5-2","Pistol Double Wing","Pistol Double Wing","85 Dalman"
"Half2","PIT",3,1,"10:29","38",10,9,"pass",0,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1529,1529,0,NA,0,0,0,0,NA,1,1,0,0,10,9,9,10,-1,"5-2","12","Cover 2","",""
"Half2","PIT",3,2,"10:03","47",1,0,"pass",0,1,"deep","left",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1503,1503,0,NA,0,0,0,0,NA,0,1,0,0,10,9,9,10,-1,"5-2","12","Cover 6","Cover 2","81 Pruitt"
